authority_id,authority_name_he,authority_name_en,district,population,socioeconomic_cluster,year,total_waste_tons,kg_per_capita_day,pct_recycled,pct_landfilled,pct_other_recovery,reported,source_url,source_name
,מנשה,Menashe,,21263.0,,2023,14262.240928953821,1.75873220128571,52.86855667713728,47.13144332286272,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
4203,מסעדה,Mas'ade,,4091.0,,2023,3066.53,2.092516078404613,2.4063028895852967,97.5936971104147,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
518,מעיליא,Mi'elya,,3269.0,,2023,2284.435,1.9101864878367956,2.4021256897219665,97.59787431027803,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
3616,מעלה אדומים,Ma'ale Adummim,,36664.0,,2023,26869.152722142248,1.9702410686231049,25.248554698755537,74.75144530124447,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
3608,מעלה אפרים,Ma'ale Efrayim,,1635.0,,2023,624.8628573954795,1.1145527564845168,0.29812259977239847,99.7018774002276,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,מעלה יוסף,Ma'ale Yosef,,11929.0,,2023,10051.762574462711,2.339271653979459,6.233061812009623,93.76693818799039,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1327,מעלה עירון,Ma'ale Iron,,14865.0,,2023,7891.34,1.388663985422384,27.42372651539536,72.57627348460464,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1063,מעלות-תרשיחא,Ma'alot-Tarshiha,,22720.0,,2023,15131.662157077664,1.816121638828048,2.9548780063697584,97.04512199363025,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
99,מצפה רמון,Mizpe Ramon,,5385.0,,2023,4047.6866542188495,2.037209971031858,5.040821378951965,94.95917862104804,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,מרום הגליל,Merom HaGalil,,15541.0,,2023,15232.072369333584,2.6052192852927476,14.55929512124955,85.44070487875045,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,מרחבים,Merhavim,,14544.0,,2023,11247.686331304929,2.0649029376404004,41.94094494060835,58.05905505939165,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,משגב,Misgav,,29181.0,,2023,17805.813453587023,1.598239051134314,48.1870905586655,51.8129094413345,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
520,משהד,Meshhed,,8499.0,,2023,4451.0,1.396372443369427,25.297685913277917,74.70231408672208,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
9100,נהרייה,Nahariyya,,63318.0,,2023,40958.36821241653,1.6968548401094519,9.369875754115382,90.63012424588462,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,נווה מדבר,Neve Midbar,,13096.0,,2023,1810.0,0.3576175754219912,0.0,100.0,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1061,נוף הגליל,Nazerat Illit,,43479.0,,2023,25190.148232413296,1.5375590056106714,28.353815811305488,71.64618418869452,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,נחל שורק,Nahal Soreq,,10204.0,,2023,6592.90829309828,1.7594742301621473,41.54468970796361,58.45531029203639,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
522,נחף,Nahef,,13446.0,,2023,11697.818539448475,2.3278603897800756,0.028112416322641463,99.97188758367737,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
